"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"1","A0A2R8Y4L2","O60814",1,1,"HNRNPA1L3","H2BC12","poor",0.58,0.514,0.111
"2","A0A2R8Y4L2","P06899",1,1,"HNRNPA1L3","H2BC11","poor",0.58,0.514,0.111
"3","A0A2R8Y4L2","P07910",1,1,"HNRNPA1L3","HNRNPC","poor",1,1,1
"4","A0A2R8Y4L2","P22626",15,6,"HNRNPA1L3","HNRNPA2B1","rich",1,1,1
"5","A0A2R8Y4L2","P37802",2,1,"HNRNPA1L3","TAGLN2","poor",0.302,0.269,0.064
"6","A0A2R8Y4L2","P42677",1,1,"HNRNPA1L3","RPS27","poor",0.58,0.741,0.423
"7","A0A2R8Y4L2","P46013",1,1,"HNRNPA1L3","MKI67","poor",0.58,0.741,0.149
"8","A0A2R8Y4L2","P57053",1,1,"HNRNPA1L3","H2BC12L","poor",0.58,0.514,0.028
"9","A0A2R8Y4L2","P62081",1,1,"HNRNPA1L3","RPS7","poor",0.58,1,0.423
"10","A0A2R8Y4L2","P68431",1,1,"HNRNPA1L3","H3C1","poor",0.58,0.514,0.392
"11","A0A2R8Y4L2","P84243",1,1,"HNRNPA1L3","H3-3A","poor",0.58,0.293,0.065
"12","A0A2R8Y4L2","Q13185",1,1,"HNRNPA1L3","CBX3","poor",0.58,0.269,0.215
"13","A0A2R8Y4L2","Q14103",1,1,"HNRNPA1L3","HNRNPD","poor",0.58,0.849,0.71
"14","A0A2R8Y4L2","Q15181",1,1,"HNRNPA1L3","PPA1","poor",0.292,0.111,0.178
"15","A0A2R8Y4L2","Q16695",1,1,"HNRNPA1L3","H3-4","poor",0.58,0.514,0.068
"16","A0A2R8Y4L2","Q5TEC6",1,1,"HNRNPA1L3","H3-7","poor",0.58,0.514,0
"17","A0A2R8Y4L2","Q6NXT2",1,1,"HNRNPA1L3","H3-5","poor",0.58,0.293,0.065
"18","A0A2R8Y4L2","Q6Y7W6",2,1,"HNRNPA1L3","GIGYF2","poor",0.409,0.741,0.205
"19","A0A2R8Y4L2","Q71DI3",1,1,"HNRNPA1L3","H3C15","poor",0.58,0.514,0.068
"20","A0A2R8Y4L2","Q71RC2",1,1,"HNRNPA1L3","LARP4","poor",0.3,1,0.26
"21","A0A2R8Y4L2","Q9BY77",1,1,"HNRNPA1L3","POLDIP3","poor",0.58,0.848,0.151
"22","A0A2R8Y619","O00479",1,1,"H2BK1","HMGN4","poor",0.866,0.517,0
"23","A0A2R8Y619","O60814",2,1,"H2BK1","H2BC12","poor",0.754,0.891,0
"24","A0A2R8Y619","O75475",1,1,"H2BK1","PSIP1","poor",0.715,0.619,0
"25","A0A2R8Y619","P02545",2,2,"H2BK1","LMNA","poor",0.65,0.545,0
"26","A0A2R8Y619","P04908",24,1,"H2BK1","H2AC4","poor",0.848,0.908,0
"27","A0A2R8Y619","P05204",16,5,"H2BK1","HMGN2","rich",0.683,0.555,0
"28","A0A2R8Y619","P06899",2,1,"H2BK1","H2BC11","poor",0.693,0.862,0
"29","A0A2R8Y619","P0C0S5",12,4,"H2BK1","H2AZ1","poor",0.793,0.784,0
"30","A0A2R8Y619","P0C0S8",5,3,"H2BK1","H2AC11","rich",0.86,0.795,0
"31","A0A2R8Y619","P0CG47",6,1,"H2BK1","UBB","poor",0.433,0.429,0
"32","A0A2R8Y619","P10412",3,3,"H2BK1","H1-4","rich",0.925,0.747,0
"33","A0A2R8Y619","P16104",1,1,"H2BK1","H2AX","poor",0.659,0.826,0
"34","A0A2R8Y619","P16402",3,3,"H2BK1","H1-3","rich",0.893,0.746,0
"35","A0A2R8Y619","P16403",2,2,"H2BK1","H1-2","rich",0.925,0.787,0
"36","A0A2R8Y619","P17096",1,1,"H2BK1","HMGA1","poor",0.576,0.516,0
"37","A0A2R8Y619","P20671",5,3,"H2BK1","H2AC7","rich",0.86,0.811,0
"38","A0A2R8Y619","P26358",1,1,"H2BK1","DNMT1","poor",0.729,0.5,0
"39","A0A2R8Y619","P35251",1,1,"H2BK1","RFC1","poor",0.67,0.57,0
"40","A0A2R8Y619","P57053",2,1,"H2BK1","H2BC12L","poor",0.754,1,0
"41","A0A2R8Y619","P60709",3,1,"H2BK1","ACTB","poor",0.405,0.445,0
"42","A0A2R8Y619","P62805",122,13,"H2BK1","H4C1","rich",0.648,0.919,0
"43","A0A2R8Y619","P62826",13,2,"H2BK1","RAN","poor",0.507,0.443,0
"44","A0A2R8Y619","P62979",13,3,"H2BK1","RPS27A","poor",0.42,0.514,0
"45","A0A2R8Y619","P62987",6,1,"H2BK1","UBA52","poor",0.451,0.479,0
"46","A0A2R8Y619","P63261",3,1,"H2BK1","ACTG1","poor",0.339,0.431,0
"47","A0A2R8Y619","P68032",3,1,"H2BK1","ACTC1","poor",0.279,0.262,0
